"212637","肩こり・腰痛ケア用品・用具","カタコリ,ヨウツウケアヨウヒ"
"212639","使い捨てカイロ","ツカイステカイロ"
"212641","熱冷却用品・用具","ネツレイキヤクヨウヒン,ヨウ"
"212697","その他衛生医療用品・用具","ソノタエイセイ,イリヨウヨウ"
"2127","衣料用洗剤類","イリヨウヨウセンザイルイ"
"212701","衣料用合成洗剤","イリヨウヨウゴウセイセンサ"
"212703","洗濯用石鹸","センタクヨウセツケン"
"212705","ライト系洗剤","ライトケイセンザイ"
"212707","漂白剤","ヒヨウハクザイ"
"212709","柔軟剤","ジユウナンザイ"
"212711","仕上げ剤","シアゲザイ"
"212713","衣料用処理剤","イリヨウヨウシヨリザイ"
"212715","染料","センリヨウ"
"212797","その他衣料用洗剤類","ソノタイリヨウヨウセンザイ"
"2128","台所・食器用洗剤類","ダイドコロ,シヨツキヨウ"
"212801","台所用洗剤","ダイドコロヨウセンザイ"
"212803","台所用クレンザー","ダイドコロヨウクレンザ"
"212805","台所用漂白剤","ダイドコロヨウヒヨウハク"
"212807","廃油処理剤","ハイユシヨリザイ"
"212809","台所用除菌・消臭剤","ダイドコロヨウジヨキン"
"212897","その他台所・食器用洗剤類","ソノタダイドコロ,シヨツ"
"2129","住居用洗剤類","ジユウキヨヨウセンザイル"
"212901","住居用洗剤","ジユウキヨヨウセンザイ"
"212903","トイレ用洗剤","トイレヨウセンザイ"
"212905","バス用洗剤","バスヨウセンザイ"
"212907","ガラス用洗剤","ガラスヨウセンザイ"
"212909","畳・カーペットクリーナー","タタミ,カーペツトクリーナ"
"212911","パイプ・風呂釜クリーナー","パイプ,フロガマクリー"
"212913","カビ防止剤・カビ取り剤","カビボウシザイ,カビ"
"212915","換気扇・レンジクリーナー","カンキセン,レンジクリーナ"
"212917","使い捨て紙クリーナー類","ツカイステカミクリーナールイ"
"212919","電気製品用クリーナー","デンキセイヒンヨウクリーナ"
"212997","その他住居用洗剤類","ソノタジユウキヨヨウセンサ"
"2130","家庭用つや出し・ワックス剤","カテイヨウツヤダシ,ワツク"
"213001","住居用ワックス","ジユウキヨヨウワツクス"
"213003","靴墨・靴用クリーム","クツスミ,クツヨウクリーム"
"213097","その他家庭用つや出し・ワックス剤","ソノタカテイヨウツヤダシワ"
"2131","芳香・消臭剤","ホウコウサ,シヨウシユウザ"
"213101","トイレ用芳香・消臭・防臭剤","トイレヨウホウコウ,シヨウシ"
"213103","室内用芳香・消臭・防臭剤","シツナイヨウホウコウ,シヨウ"
"213105","水洗トイレ用タンククリーナー","スイセントイレヨウタンククリ"
"213107","脱臭剤","ダツシユウザイ"
"213197","その他芳香・消臭剤","ソノタホウコウ,シヨウシユウ"
"2132","防虫・除湿・乾燥剤","ボウチユウ,ジヨシツ,カ"
"213201","防虫剤","ボウチユウザイ"
"213203","除湿・乾燥剤","ジヨシツ,カンソウザイ"
